Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
AccuPS,https://www.crunchbase.com/organization/accups,"Hardware, Software","Los Angeles, California, United States",AccuPS is a developer of an add-on 3-D motion-tracking controller,"33,691",3/18/14,,1,2/10/17,100000,Seed,100000,Operating
ClearDoc,https://www.crunchbase.com/organization/cleardoc,,"New York, New York, United States",ClearDoc is using proprietary technology to remotely create HD video at scale for physicians.,"54,964",1/1/16,,1,2/10/17,1000000,Seed,1000000,Operating
Botworx.ai,https://www.crunchbase.com/organization/botworx-ai,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","California City, California, United States",AI powered platform for Authentic conversations,"7,905",1/1/16,,1,2/10/17,3000000,Seed,3000000,Operating
"Trizic, Inc.",https://www.crunchbase.com/organization/trizic-inc-,"Software, Financial Services","San Francisco, California, United States",Trizic is a San Francisco-based start-up dedicated to bringing wealth management into the digital age through game-changing technology.,"7,726",9/1/12,,5,2/12/17,3300000,Seed,9025001,Operating
Bolstra,https://www.crunchbase.com/organization/bolstra,Software,"Indiana, United States, North America",B2B SaaS company focused on customer success management,"12,414",1/1/14,,2,2/13/17,1500000,Seed,3000000,Operating
ServusConnect,https://www.crunchbase.com/organization/servusconnect,"Apps, Software, Mobile","Raleigh, North Carolina, United States",ServusConnect is a purpose-built mobile & web app for multifamily/apartment operators.,"25,446",8/1/14,,1,2/13/17,350000,Seed,350000,Operating
Smart Yields,https://www.crunchbase.com/organization/smart-yield,"Agriculture and Farming, Hardware, Information Technology, Data and Analytics, Software, Design","Honolulu, Hawaii, United States","Affordable, scalable, integrated HW + SW solution to help growers take the guesswork out of farming","16,329",10/1/15,,1,2/13/17,420000,Seed,420000,Operating
Exceed.ai,https://www.crunchbase.com/organization/exceed-2,"Science and Engineering, Hardware, Commerce and Shopping, Information Technology, Data and Analytics, Software, Sales and Marketing, Consumer Goods, Internet Services, Messaging and Telecommunications, Artificial Intelligence","Sunnyvale, California, United States","Chatbots for sales, marketing and user engagement","7,407",3/1/16,,1,2/13/17,1500000,Seed,1500000,Operating
Sitter Inc.,https://www.crunchbase.com/organization/sitter-inc,"Community and Lifestyle, Health Care","Boulder, Colorado, United States",Sitter makes it insanely easy to book and pay your babysitters and find new sitters through friends by creating a private network.,"16,309",1/1/15,,3,2/14/17,1000000,Seed,1615000,Operating
Galore,https://www.crunchbase.com/organization/galore-inc,,"California City, California, United States",Mobile application that allows parents to book activities for their children and empowers local providers to reach new customers.,"9,545",4/1/15,,1,2/14/17,1650000,Seed,1650000,Operating
Smart Drivinc,https://www.crunchbase.com/organization/smart-drivinc,"Hardware, Consumer Electronics, Transportation, Internet Services, Financial Services, Mobile","Des Moines, Iowa, United States",future of crash prevention,"24,449",2/2/16,,3,2/14/17,20000,Seed,100000,Operating
Ommy by Emoji Apps Inc.,https://www.crunchbase.com/organization/ommy-by-emoji-apps-inc,"Apps, Software","Dover, Delaware, United States",Ommy is a new app that allows you to create animated emoticons and stickers of your own face using sophisticated AI and neural networks.,"22,771",6/1/16,,1,2/15/17,1000000,Seed,1000000,Operating
Medifies,https://www.crunchbase.com/organization/medifies,Health Care,"San Francisco, California, United States",Medifies is a SF Bay Area software company providing tools to help hospitals increase patient satisfaction.,"25,797",10/1/15,,1,2/15/17,150000,Seed,150000,Operating
Easyknock,https://www.crunchbase.com/organization/easyknock,,"New York, New York, United States",EasyKnock is a residential real estate technology company on a mission to change the process of listing and selling oneäó»s home,"15,622",10/15/16,,1,2/15/17,1000000,Seed,1000000,Operating
Strayos,https://www.crunchbase.com/organization/strayos,"Hardware, Consumer Electronics, Data and Analytics, Software, Consumer Goods, Artificial Intelligence","Saint Louis, Missouri, United States",3D Aerial intelligence platform for Mining and Surveying industry,"51,755",3/1/17,,1,2/15/17,350000,Seed,350000,Operating
Scripturally Sound,https://www.crunchbase.com/organization/scripturally-sound,"Media and Entertainment, Community and Lifestyle, Software, Education","Nashville, Tennessee, United States",enhancing the church worship experience by connecting scriptures to songs in one simple search,"55,328",2/1/17,,1,2/15/17,48000,Seed,48000,Operating
"Soozie's Doozies, LLC",https://www.crunchbase.com/organization/soozie-s-doozies,Food and Beverage,"Union, Missouri, United States","Soozie's Doozies is the creator of the first pre-cut, refrigerated cookie dough in a stand up pouch. It's all natural, non-GMO.","32,631",6/14/15,,2,2/16/17,100000,Seed,100000,Operating
ROWViGOR,https://www.crunchbase.com/organization/rowvigor,,"Arlington, Virginia, United States","ROWViGORä‹¢ is an in-door row house that liberates the fitness experience through full-body, mind blowing and life changing workouts.","38,749",1/1/16,,1,2/16/17,100000,Seed,100000,Operating
Mylestone,https://www.crunchbase.com/organization/mylestone,"Science and Engineering, Data and Analytics, Software, Internet Services, Artificial Intelligence","Boston, Massachusetts, United States","Mylestone makes people's memories easily accessible on virtual assistants, like Amazon's Echo.","4,995",1/1/16,,2,2/16/17,2500000,Seed,4000000,Operating
MathBRIX,https://www.crunchbase.com/organization/mathbrix,,"St Louis, Missouri, United States",MathBRIX follows a concept-based approach to teaching math that is backed by decades of research.,"37,482",1/1/16,,2,2/16/17,100000,Seed,250000,Operating
Keriton,https://www.crunchbase.com/organization/keriton,"Biotechnology, Science and Engineering, Data and Analytics, Health Care, Internet Services","Philadelphia, Pennsylvania, United States",Breast Milk Management & Lactation Analytics for Neonatal ICUs (NICUs),"9,858",1/1/16,,3,2/16/17,1000000,Seed,1150000,Operating
Faira,https://www.crunchbase.com/organization/faira,Real Estate,"Kirkland, Washington, United States",Faira is a real estate technology platform that is revolutionizing the way people buy and sell homes.,"9,227",7/4/15,,3,2/16/17,1200000,Seed,2730000,Operating
VinePair,https://www.crunchbase.com/organization/vinepair,"Media and Entertainment, Food and Beverage, Content and Publishing","New York, New York, United States","VinePair operates an online platform that enables wine consumers to discuss, share, and understand about wine and other beverages.","17,701",1/1/13,,2,2/17/17,1525000,Seed,2025000,Operating
Trading Ticket,https://www.crunchbase.com/organization/trading-ticket,"Software, Internet Services, Financial Services","New York, New York, United States","Trade safely, easily and quickly from anywhere","6,935",1/1/14,,3,2/17/17,2500000,Seed,6500000,Operating
Vize Software,https://www.crunchbase.com/organization/vize-software,"Information Technology, Data and Analytics, Software, Design","Mountain View, California, United States",Vize is a platform for on-the-fly data experimentation that gives analysts real-time feedback on every action.,"21,597",3/20/14,,3,2/20/17,120000,Seed,989367,Operating
Songtradr,https://www.crunchbase.com/organization/songtradr,"Commerce and Shopping, Media and Entertainment, Music and Audio","Santa Monica, California, United States",Songtradr is a Santa Monica based marketplace for music rights.,"11,264",5/1/14,,5,2/20/17,1100000,Seed,5040000,Operating
LeanLaw,https://www.crunchbase.com/organization/leanlaw,"Media and Entertainment, Professional Services","Boise, Idaho, United States","We help lawyers create lean practices by leveraging the cloud and creating trusted relationships with lawyers,","30,923",1/1/15,,2,2/20/17,75000,Seed,475000,Operating
MusicMind Inc.,https://www.crunchbase.com/organization/musicmind-company,"Science and Engineering, Hardware, Media and Entertainment, Information Technology, Music and Audio, Data and Analytics, Software, Sales and Marketing, Internet Services, Artificial Intelligence, Design","Los Angeles, California, United States",MusicMind is a social music platform with embedded augmented reality that provides brands and artists with content distribution services.,"27,525",2/15/17,,1,2/20/17,40000,Seed,40000,Operating
Coin Center,https://www.crunchbase.com/organization/coin-center,,"Washington, District of Columbia, United States",Court Innovations develops and implements online negotiation systems for courts and constituents.,"13,524",1/1/14,,1,2/21/17,1000000,Seed,1000000,Operating
Visabot,https://www.crunchbase.com/organization/visabot,"Science and Engineering, Data and Analytics, Software, Internet Services, Artificial Intelligence","Palo Alto, California, United States",Visabot is an AI-powered solution for streamlining U.S. visa process.,"10,033",1/1/16,,1,2/21/17,475000,Seed,475000,Operating
RDnote,https://www.crunchbase.com/organization/rdnote,Health Care,"Louisiana, Missouri, United States",RDnote is a digital health startup that helps hospital systems increase quality of care,"26,923",1/1/16,,1,2/21/17,250000,Seed,250000,Operating
Overtime,https://www.crunchbase.com/organization/overtime,Sports,"Brooklyn, New York, United States",Overtime is a cross-platform tech startup that's redefining high school and amateur sports through video.,"8,659",11/20/16,,1,2/22/17,2500000,Seed,2500000,Operating
MovieRipe,https://www.crunchbase.com/organization/movieripe,,"London, Kentucky, United States",MovieRipe is an online video Entertainment streaming service. Our services are based around the Movie industry and Games.,"30,312",5/30/16,,2,2/22/17,10000,Seed,12436,Operating
Cosmunity,https://www.crunchbase.com/organization/cosmunity,"Apps, Commerce and Shopping, Media and Entertainment, Events, Software, Internet Services, Mobile","Dallas, Texas, United States","Cosmunity brings together photo and video sharing, event discovery, social connections, and a marketplace devoted to geek culture fans.","15,481",1/1/16,,1,2/22/17,300000,Seed,300000,Operating
FOSSA,https://www.crunchbase.com/organization/fossa-2,"Software, Professional Services","San Francisco, California, United States",FOSSA implements the systems serious companies need to build software effectively and effortlessly comply with open source licenses.,"8,869",1/1/14,,1,2/23/17,2200000,Seed,2200000,Operating
Uponit,https://www.crunchbase.com/organization/uponit,,"New York, New York, United States",Leading ad recovery platform for publishers,"12,564",1/1/15,,1,2/23/17,2300000,Seed,2300000,Operating
Hiatus,https://www.crunchbase.com/organization/hiatus,"Payments, Financial Services","New York, New York, United States","Hiatus for iOS is the free way to instantly consolidate your subscriptions. Cancel the bad, monitor the good, get personalized suggestions.","12,945",1/1/15,,1,2/23/17,1200000,Seed,1200000,Operating
TL Biolabs,https://www.crunchbase.com/organization/tl-biolabs,"Agriculture and Farming, Biotechnology, Science and Engineering","Santa Clara, California, United States",TL Biolabs reinvents agriculture through genomics.,"7,084",1/1/16,,1,2/23/17,4000000,Seed,4000000,Operating
